Mileage(Kilometer),Model(Year),Engine(True=Healthy),Chassis(True=Healthy),Description(False=Expensive),Price(Toman)
['۸۶٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۶۰٬۰۰۰٬۰۰۰']
['۸٬۰۰۰'],['۱۴۰۰'],True,True,True,['۱۱٬۱۱۱٬۱۱۱']
['۳۷۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۵۰٬۰۰۰٬۰۰۰']
['۶۹٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۱۰۰٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۲٬۰۰۰٬۰۰۰']
['۹۷٬۰۰۰'],['۱۳۹۴'],False,False,False,['۳۷۰٬۰۰۰٬۰۰۰']
['۲ روز پیش در تهران، شمشیریزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۳۴٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۰۵٬۰۰۰٬۰۰۰']
['۲۱۶٬۰۰۰'],['۱۳۸۴'],True,True,False,['۲۰۵٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۷'],True,True,False,['۲۵۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],False,False,True,['۵۲۵٬۰۰۰٬۰۰۰ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۲۶۰٬۰۰۰٬۰۰۰']
['۲۸۵٬۰۰۰'],['۱۳۸۲'],True,True,True,['۲۰۰٬۰۰۰٬۰۰۰']
['۳۶۵٬۰۰۰'],['۱۳۸۰'],True,True,False,['۱۶۵٬۰۰۰٬۰۰۰']
['۱۳۴٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۳۰٬۰۰۰٬۰۰۰']
['۱۹۸٬۰۰۰'],['۱۳۸۲'],False,True,False,['۲۰۰٬۰۰۰٬۰۰۰']
['۴۰۰٬۰۰۰'],['۱۳۸۷'],False,True,False,['۲۵۰٬۰۰۰٬۰۰۰']
['۴۶٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۲۴۹٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۵۲٬۰۰۰٬۰۰۰']
['۷۶٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۷۵٬۰۰۰٬۰۰۰']
['۱۱۴٬۰۰۰'],['۱۳۹۴'],True,True,True,['۲۹۰٬۰۰۰٬۰۰۰']
['۱۲۰٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۵۵٬۰۰۰٬۰۰۰']
['۳۶۵٬۰۰۰'],['۱۳۸۴'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۶۰٬۰۰۰٬۰۰۰']
['۵۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۳۵٬۰۰۰٬۰۰۰']
['۱۹۰٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۶۵٬۰۰۰٬۰۰۰']
['۱۶۴٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۲۲٬۰۰۰٬۰۰۰']
['۱۶۸٬۰۰۰'],['۱۳۹۱'],True,True,True,['۲۸۰٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۱۶۵٬۰۰۰٬۰۰۰ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۷۰٬۰۰۰٬۰۰۰']
['۵۹٬۰۰۰'],['۱۳۹۵'],False,False,False,['۳۷۹٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۱۱۱٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۷۱٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۸۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۲'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۱٬۱۱۱٬۱۱۱']
